experiment,config_label,baseline,p99_mean,p99_std,p999_mean,slo_viol,throughput,p99_ms
E1_scale_invariance,N=16,adaptive,0.028193979172428812,0.00016482965165227946,0.035110873825503916,0.0003805351861423602,1120.4479999999999,28.19397917242881
E1_scale_invariance,N=16,fixed_isolation,0.028193979172428812,0.00016482965165227906,0.035110873825503916,0.0003805351861423602,1120.4479999999999,28.19397917242881
E1_scale_invariance,N=16,fixed_shedding,0.02980773474849831,0.00021186718230026985,0.04152210912748912,0.0006460198793118733,1118.03,29.807734748498312
E1_scale_invariance,N=16,no_mitigation,0.05927799922165481,0.0003449513726003932,0.0875112522053388,0.018378218992081898,1120.648,59.27799922165481
E1_scale_invariance,N=32,adaptive,0.02693115467211385,0.00011371040568100706,0.029862136769854674,0.00018122701543465616,2240.366,26.93115467211385
E1_scale_invariance,N=32,fixed_isolation,0.02693115467211385,0.0001137104056810071,0.029862136769854674,0.00018122701543465616,2240.366,26.93115467211385
E1_scale_invariance,N=32,fixed_shedding,0.027802518348396043,0.0001997853954061125,0.03254472687119149,0.0003038427158427935,2238.264,27.802518348396042
E1_scale_invariance,N=32,no_mitigation,0.04657280944206283,0.0006079781013993371,0.08150913635062129,0.008891849389852054,2240.44,46.572809442062834
E1_scale_invariance,N=64,adaptive,0.026382911060578346,0.00010077407381436668,0.02951160549572484,8.837040986753948e-05,4481.59,26.382911060578348
E1_scale_invariance,N=64,fixed_isolation,0.026382911060578346,0.00010077407381436713,0.02951160549572484,8.837040986753948e-05,4481.59,26.382911060578348
E1_scale_invariance,N=64,fixed_shedding,0.026752675732135807,6.323137846639893e-05,0.030000000000001137,0.00014505793286715172,4480.976000000001,26.752675732135806
E1_scale_invariance,N=64,no_mitigation,0.028451523302387878,2.9764603160629706e-05,0.0728795764104275,0.004387843605614744,4478.258,28.451523302387876
E1_scale_invariance,N=8,adaptive,0.034323706192691164,0.0007805016085985776,0.047335032313480296,0.0008151088037527312,559.432,34.32370619269116
E1_scale_invariance,N=8,fixed_isolation,0.034323706192691164,0.0007805016085985783,0.047335032313480296,0.0008151088037527312,559.432,34.32370619269116
E1_scale_invariance,N=8,fixed_shedding,0.03461676996678895,0.001282470567573955,0.05561246244178969,0.001711022764768708,558.792,34.61676996678895
E1_scale_invariance,N=8,no_mitigation,0.07972384116239843,0.0004389990863472335,0.10648841719549931,0.039481883978003354,561.172,79.72384116239843
E2_severity_sweep,s=1.5,adaptive,0.028095517031230692,0.00014276639409414586,0.03301446659633433,0.0,1120.126,28.095517031230692
E2_severity_sweep,s=1.5,fixed_isolation,0.028117501176008718,0.0001669639217854385,0.03307501969467087,0.0,1120.4479999999999,28.117501176008716
E2_severity_sweep,s=1.5,fixed_shedding,0.027984680248689768,0.00020453319712074745,0.032568559115095694,0.0,1119.278,27.984680248689767
E2_severity_sweep,s=1.5,no_mitigation,0.02926907851854411,0.00013237440963413948,0.04077722592792031,6.603659048417378e-05,1120.672,29.26907851854411
E2_severity_sweep,s=10.0,adaptive,0.034580235997146866,0.00040361603561503114,0.3162896315422794,0.00890600157013956,1120.6100000000001,34.580235997146865
E2_severity_sweep,s=10.0,fixed_isolation,0.034580235997146866,0.0004036160356150307,0.3162896315422794,0.00890600157013956,1120.6100000000001,34.580235997146865
E2_severity_sweep,s=10.0,fixed_shedding,0.034580235997146866,0.00040361603561503195,0.3162896315422794,0.00890600157013956,1120.6100000000001,34.580235997146865
E2_severity_sweep,s=10.0,no_mitigation,0.034580235997146866,0.00040361603561503255,0.3162896315422794,0.00890600157013956,1120.6100000000001,34.580235997146865
E2_severity_sweep,s=2.0,adaptive,0.028167346517084337,0.00016199921298724152,0.0342023635665268,5.3650983235265195e-05,1120.4479999999999,28.167346517084336
E2_severity_sweep,s=2.0,fixed_isolation,0.028167346517084337,0.00016199921298724158,0.0342023635665268,5.3650983235265195e-05,1120.4479999999999,28.167346517084336
E2_severity_sweep,s=2.0,fixed_shedding,0.02806209567703416,0.00015190144314259962,0.03469349725371254,5.732526355066272e-05,1117.794,28.06209567703416
E2_severity_sweep,s=2.0,no_mitigation,0.0386240850788286,0.0003005175125248558,0.05628878653805307,0.00306567753695554,1120.67,38.6240850788286
E2_severity_sweep,s=3.0,adaptive,0.028193979172428812,0.00016482965165227944,0.035110873825503916,0.0003805351861423602,1120.4479999999999,28.19397917242881
E2_severity_sweep,s=3.0,fixed_isolation,0.028193979172428812,0.00016482965165228011,0.035110873825503916,0.0003805351861423602,1120.4479999999999,28.19397917242881
E2_severity_sweep,s=3.0,fixed_shedding,0.02980773474849831,0.00021186718230026998,0.04152210912748912,0.0006460198793118733,1118.03,29.807734748498312
E2_severity_sweep,s=3.0,no_mitigation,0.05927799922165481,0.0003449513726003927,0.0875112522053388,0.018378218992081898,1120.648,59.27799922165481
E2_severity_sweep,s=5.0,adaptive,0.028158542384575415,0.00016315719996894823,0.03428380432761298,0.0003766714064239545,1120.4479999999999,28.158542384575416
E2_severity_sweep,s=5.0,fixed_isolation,0.028158542384575415,0.00016315719996894728,0.03428380432761298,0.0003766714064239545,1120.4479999999999,28.158542384575416
E2_severity_sweep,s=5.0,fixed_shedding,0.029700444229325267,0.0009231539242912248,0.07671794412454398,0.004105179832597885,1117.838,29.700444229325267
E2_severity_sweep,s=5.0,no_mitigation,0.09966618607489708,0.0010195509826773689,0.14904060508134498,0.017545703468867007,1120.6299999999999,99.66618607489708
E2_wr_control,s=1.5,wr_no_mitigation,2.1464580198179375,0.6941860823566754,2.554082427217854,0.10968038379741554,1115.4180000000001,2146.4580198179374
E2_wr_control,s=1.5,wr_shedding,1.3747527230268861,1.6564648594852067,1.5987152056116827,0.234065077098631,1105.328,1374.752723026886
E2_wr_control,s=10.0,wr_no_mitigation,0.12067042706947935,0.010810079693927112,38.32846260252,0.06326102280787829,1058.99,120.67042706947935
E2_wr_control,s=10.0,wr_shedding,0.1206976232909837,0.010781078477458855,38.173907323562176,0.06332725194757634,1058.99,120.6976232909837
E2_wr_control,s=2.0,wr_no_mitigation,11.042513850682724,0.672602364049023,13.961353058461095,0.09725305435106724,1098.966,11042.513850682724
E2_wr_control,s=2.0,wr_shedding,2.059405218121093,1.4727392541198423,2.4583476604302072,0.2889479909873073,1105.364,2059.405218121093
E2_wr_control,s=3.0,wr_no_mitigation,17.756859875508923,0.5610371743758154,25.29104486704791,0.0834183832509928,1082.3200000000002,17756.859875508922
E2_wr_control,s=3.0,wr_shedding,2.0596525597570894,1.4723811629157064,2.4678901291625026,0.2889965788357488,1105.364,2059.6525597570894
E2_wr_control,s=5.0,wr_no_mitigation,16.67051694982792,0.40865543086039485,33.911168783065456,0.07202416049704774,1068.99,16670.51694982792
E2_wr_control,s=5.0,wr_shedding,2.1799930010900965,1.341270905113332,2.6465241429681763,0.3021409877091534,1105.364,2179.9930010900966
E3_load_sweep,L=0.7,adaptive,0.028193979172428812,0.00016482965165227976,0.035110873825503916,0.00038053518614236014,1120.4479999999999,28.19397917242881
E3_load_sweep,L=0.7,fixed_isolation,0.028193979172428812,0.00016482965165227965,0.035110873825503916,0.00038053518614236014,1120.4479999999999,28.19397917242881
E3_load_sweep,L=0.7,fixed_shedding,0.02980773474849831,0.00021186718230027014,0.04152210912748912,0.0006460198793118733,1118.03,29.807734748498312
E3_load_sweep,L=0.7,no_mitigation,0.05927799922165481,0.00034495137260039295,0.0875112522053388,0.018378218992081898,1120.648,59.27799922165481
E3_load_sweep,L=0.8,adaptive,0.033841013314274304,0.0009796001440031954,0.04099655665045182,0.0004388779489063922,1280.5040000000001,33.841013314274306
E3_load_sweep,L=0.8,fixed_isolation,0.033841013314274304,0.0009796001440031947,0.04099655665045182,0.0004388779489063922,1280.5040000000001,33.841013314274306
E3_load_sweep,L=0.8,fixed_shedding,0.03407784329482405,0.0007779388955640782,0.05681610988596558,0.0016407154469015102,1278.706,34.07784329482405
E3_load_sweep,L=0.8,no_mitigation,0.07546115518008145,0.0008598216013796161,0.10560580940612958,0.021747582212796275,1280.036,75.46115518008145
E3_load_sweep,L=0.85,adaptive,0.044046856692603276,0.01391977367669096,0.07989570582753214,0.005601779604657604,1358.7540000000001,44.04685669260328
E3_load_sweep,L=0.85,fixed_isolation,0.03950601200244416,0.0011959906657854809,0.07579485451353091,0.0035009435316368104,1358.772,39.506012002444166
E3_load_sweep,L=0.85,fixed_shedding,0.03950601200244416,0.0011959906657854804,0.07579485451353091,0.0035009435316368104,1358.772,39.506012002444166
E3_load_sweep,L=0.85,no_mitigation,0.08339916862514977,0.000975649328793732,0.11685174292448255,0.02254166828367577,1359.44,83.39916862514977
E4_multi_fault,f=1,adaptive,0.02691804358342857,0.00011604694032325896,0.02982006003041853,1.8730558088848716e-05,2240.366,26.918043583428567
E4_multi_fault,f=1,fixed_isolation,0.02691804358342857,0.00011604694032325919,0.02982006003041853,1.8730558088848716e-05,2240.366,26.918043583428567
E4_multi_fault,f=1,fixed_shedding,0.026923897263052964,0.00012075204232403748,0.02991016646030565,1.9642962383757205e-05,2238.546,26.923897263052964
E4_multi_fault,f=1,no_mitigation,0.03221414620269185,0.0003219100375784555,0.05191448867215468,0.0013035605474149595,2240.464,32.21414620269185
E4_multi_fault,f=2,adaptive,0.027623135098793494,0.00012125858299030449,0.031629714932740895,4.4587337545385155e-05,2239.618,27.623135098793494
E4_multi_fault,f=2,fixed_isolation,0.027623135098793494,0.00012125858299030535,0.031629714932740895,4.4587337545385155e-05,2239.618,27.623135098793494
E4_multi_fault,f=2,fixed_shedding,0.02806493353273099,0.0001535510554372792,0.036692942151355844,5.9200148970390666e-05,2227.044,28.06493353273099
E4_multi_fault,f=2,no_mitigation,0.03862097125612648,0.00010147968747726412,0.05589546203488717,0.0029055552770786796,2240.43,38.62097125612648
E4_multi_fault,f=4,adaptive,0.029060916427853543,0.00010783060623975863,0.03661416769858408,0.00014372349541323198,2241.042,29.06091642785354
E4_multi_fault,f=4,fixed_isolation,0.029060916427853543,0.00010783060623975866,0.03661416769858408,0.00014372349541323198,2241.042,29.06091642785354
E4_multi_fault,f=4,fixed_shedding,0.030011844587820764,0.0004145153260302138,0.03968613098637412,0.00016362786507296434,2211.4880000000003,30.011844587820764
E4_multi_fault,f=4,no_mitigation,0.04811046220222529,0.00035206063685971174,0.05911622992272877,0.008167432179575728,2240.366,48.11046220222529
E4_multi_fault,f=8,adaptive,0.04311031886525919,0.0022052207772276728,0.06384948768080595,0.005560067458142333,2238.504,43.110318865259195
E4_multi_fault,f=8,fixed_isolation,0.04311031886525919,0.002205220777227671,0.06384948768080595,0.005560067458142333,2238.504,43.110318865259195
E4_multi_fault,f=8,fixed_shedding,0.0495628745645421,0.0005734688823056461,0.06371765807222872,0.009629904863350653,2239.662,49.5628745645421
E4_multi_fault,f=8,no_mitigation,0.05765299723265761,0.0003413355378056742,0.07198098791123253,0.03166480203411015,2240.232,57.65299723265761
